time,v(source),v(launch),v(pin),v(die),i(vsource),i(vpin),i(lpackage),i(vccurrent),i(vgc),i(vpc),i(vog),i(vop)
0.0,0.0,3.9099949674058966e-08,3.909994967411647e-08,4.0004722509574204e-08,1.1499985198252637e-09,-1.1499985198252637e-09,-1.1499985198252637e-09,0.0,-5.017998519825267e-09,3.868e-09,0.0,0.0
2e-14,0.0,3.909994967408224e-08,3.90999496741164e-08,4.000472250957422e-08,1.1499985198259482e-09,-1.1499985198264122e-09,-1.1499985198252639e-09,1.3234889800848443e-23,-5.017998519825267e-09,3.868e-09,0.0,0.0
4e-14,0.0,3.909994967408223e-08,3.9099949674116346e-08,4.000472250957423e-08,1.149998519825948e-09,-1.149998519826411e-09,-1.1499985198252639e-09,6.617444900424222e-24,-5.017998519825267e-09,3.868e-09,0.0,0.0
8e-14,0.0,3.909994967408224e-08,3.909994967411624e-08,4.000472250957426e-08,1.1499985198259482e-09,-1.1499985198264089e-09,-1.1499985198252639e-09,1.3234889800848443e-23,-5.017998519825267e-09,3.868e-09,0.0,0.0
1.6e-13,0.0,3.909994967408223e-08,3.909994967411603e-08,4.00047225095743e-08,1.149998519825948e-09,-1.1499985198264048e-09,-1.1499985198252639e-09,6.617444900424222e-24,-5.017998519825267e-09,3.868e-09,0.0,0.0
3.2e-13,0.0,3.9099949674082246e-08,3.909994967411566e-08,4.0004722509574324e-08,1.1499985198259484e-09,-1.1499985198263973e-09,-1.1499985198252637e-09,1.3234889800848443e-23,-5.017998519825267e-09,3.868e-09,0.0,0.0
6.4e-13,0.0,3.909994967408224e-08,3.909994967411493e-08,4.000472250957435e-08,1.1499985198259482e-09,-1.1499985198263828e-09,-1.1499985198252635e-09,6.617444900424222e-24,-5.017998519825267e-09,3.868e-09,0.0,0.0
1.28e-12,0.0,3.909994967408224e-08,3.909994967411348e-08,4.000472250957436e-08,1.1499985198259482e-09,-1.1499985198263539e-09,-1.1499985198252645e-09,6.617444900424222e-24,-5.017998519825267e-09,3.868e-09,0.0,0.0
2.56e-12,0.0,3.909994967408224e-08,3.909994967411073e-08,4.0004722509574376e-08,1.1499985198259482e-09,-1.1499985198262987e-09,-1.1499985198252682e-09,0.0,-5.017998519825267e-09,3.868e-09,0.0,0.0
4.56e-12,0.0,3.909994967408223e-08,3.909994967410675e-08,4.000472250957438e-08,1.149998519825948e-09,-1.1499985198262193e-09,-1.1499985198252773e-09,-6.617444900424222e-24,-5.017998519825267e-09,3.868e-09,0.0,0.0
6.5599999999999995e-12,0.0,3.9099949674082246e-08,3.9099949674103124e-08,4.000472250957437e-08,1.1499985198259484e-09,-1.1499985198261467e-09,-1.14999851982529e-09,-1.3234889800848443e-23,-5.017998519825267e-09,3.868e-09,0.0,0.0
8.559999999999999e-12,0.0,3.909994967408224e-08,3.909994967409983e-08,4.000472250957433e-08,1.1499985198259482e-09,-1.1499985198260807e-09,-1.1499985198253063e-09,-3.3087224502121107e-23,-5.017998519825267e-09,3.868e-09,0.0,0.0
1.0559999999999999e-11,0.0,3.9099949674082246e-08,3.9099949674096864e-08,4.0004722509574264e-08,1.1499985198259484e-09,-1.1499985198260216e-09,-1.1499985198253263e-09,-5.293955920339377e-23,-5.017998519825267e-09,3.868e-09,0.0,0.0
1.2559999999999998e-11,0.0,3.909994967408223e-08,3.909994967409421e-08,4.0004722509574165e-08,1.149998519825948e-09,-1.1499985198259684e-09,-1.1499985198253495e-09,-7.940933880509066e-23,-5.017998519825267e-09,3.868e-09,0.0,0.0
1.456e-11,0.0,3.909994967408224e-08,3.909994967409186e-08,4.0004722509574026e-08,1.1499985198259482e-09,-1.1499985198259213e-09,-1.1499985198253753e-09,-1.0587911840678754e-22,-5.017998519825267e-09,3.868e-09,0.0,0.0
1.656e-11,0.0,3.909994967408223e-08,3.9099949674089796e-08,4.000472250957385e-08,1.149998519825948e-09,-1.1499985198258801e-09,-1.1499985198254035e-09,-1.3234889800848443e-22,-5.017998519825267e-09,3.868e-09,0.0,0.0
1.856e-11,0.0,3.909994967408224e-08,3.9099949674088e-08,4.000472250957362e-08,1.1499985198259482e-09,-1.1499985198258443e-09,-1.1499985198254336e-09,-1.6543612251060553e-22,-5.017998519825267e-09,3.868e-09,0.0,0.0
2.0559999999999998e-11,0.0,3.909994967408224e-08,3.909994967408646e-08,4.000472250957335e-08,1.1499985198259482e-09,-1.1499985198258135e-09,-1.1499985198254653e-09,-1.9190590211230242e-22,-5.017998519825267e-09,3.868e-09,0.0,0.0
2.2559999999999998e-11,0.0,3.909994967408224e-08,3.909994967408515e-08,4.000472250957304e-08,1.1499985198259482e-09,-1.1499985198257873e-09,-1.1499985198254982e-09,-2.2499312661442353e-22,-5.017998519825267e-09,3.868e-09,0.0,0.0
2.4559999999999997e-11,0.0,3.909994967408224e-08,3.9099949674084086e-08,4.000472250957267e-08,1.1499985198259482e-09,-1.149998519825766e-09,-1.149998519825532e-09,-2.5808035111654463e-22,-5.017998519825267e-09,3.868e-09,0.0,0.0
2.6559999999999997e-11,0.0,3.909994967408224e-08,3.909994967408324e-08,4.000472250957223e-08,1.1499985198259482e-09,-1.149998519825749e-09,-1.149998519825567e-09,-2.9778502051908996e-22,-5.017998519825267e-09,3.868e-09,0.0,0.0
2.8559999999999996e-11,0.0,3.909994967408224e-08,3.9099949674082597e-08,4.000472250957175e-08,1.1499985198259482e-09,-1.1499985198257362e-09,-1.149998519825602e-09,-3.3087224502121107e-22,-5.017998519825267e-09,3.868e-09,0.0,0.0
3.0559999999999996e-11,0.0,3.909994967408223e-08,3.9099949674082147e-08,4.000472250957122e-08,1.149998519825948e-09,-1.149998519825727e-09,-1.1499985198256367e-09,-3.639594695233322e-22,-5.017998519825267e-09,3.868e-09,0.0,0.0
3.2559999999999995e-11,0.0,3.909994967408224e-08,3.909994967408186e-08,4.000472250957063e-08,1.1499985198259482e-09,-1.1499985198257215e-09,-1.1499985198256713e-09,-3.970466940254533e-22,-5.017998519825267e-09,3.868e-09,0.0,0.0
3.4559999999999995e-11,0.0,3.909994967408224e-08,3.909994967408173e-08,4.000472250956998e-08,1.1499985198259482e-09,-1.1499985198257188e-09,-1.1499985198257052e-09,-4.367513634279986e-22,-5.017998519825267e-09,3.868e-09,0.0,0.0
3.6559999999999994e-11,0.0,3.909994967408224e-08,3.909994967408173e-08,4.000472250956928e-08,1.1499985198259482e-09,-1.1499985198257188e-09,-1.1499985198257387e-09,-4.698385879301197e-22,-5.017998519825267e-09,3.868e-09,0.0,0.0
3.8559999999999994e-11,0.0,3.9099949674082246e-08,3.9099949674081855e-08,4.000472250956854e-08,1.1499985198259484e-09,-1.1499985198257213e-09,-1.149998519825771e-09,-5.029258124322408e-22,-5.017998519825267e-09,3.868e-09,0.0,0.0
4.0559999999999994e-11,0.0,3.909994967408224e-08,3.90999496740821e-08,4.000472250956775e-08,1.1499985198259482e-09,-1.1499985198257263e-09,-1.1499985198258022e-09,-5.360130369343619e-22,-5.017998519825267e-09,3.868e-09,0.0,0.0
4.255999999999999e-11,0.0,3.909994967408223e-08,3.909994967408245e-08,4.000472250956691e-08,1.149998519825948e-09,-1.1499985198257333e-09,-1.1499985198258321e-09,-5.624828165360588e-22,-5.017998519825267e-09,3.868e-09,0.0,0.0
4.455999999999999e-11,0.0,3.909994967408224e-08,3.9099949674082875e-08,4.000472250956603e-08,1.1499985198259482e-09,-1.1499985198257418e-09,-1.1499985198258603e-09,-5.955700410381799e-22,-5.017998519825267e-09,3.868e-09,0.0,0.0
4.655999999999999e-11,0.0,3.909994967408223e-08,3.909994967408338e-08,4.0004722509565105e-08,1.149998519825948e-09,-1.1499985198257517e-09,-1.149998519825887e-09,-6.220398206398768e-22,-5.017998519825267e-09,3.868e-09,0.0,0.0
4.855999999999999e-11,0.0,3.9099949674082246e-08,3.909994967408395e-08,4.000472250956414e-08,1.1499985198259484e-09,-1.1499985198257633e-09,-1.1499985198259126e-09,-6.418921553411495e-22,-5.017998519825267e-09,3.868e-09,0.0,0.0
5.055999999999999e-11,0.0,3.909994967408224e-08,3.909994967408458e-08,4.0004722509563133e-08,1.1499985198259482e-09,-1.1499985198257759e-09,-1.1499985198259362e-09,-6.683619349428464e-22,-5.017998519825267e-09,3.868e-09,0.0,0.0
5.255999999999999e-11,0.0,3.909994967408224e-08,3.909994967408524e-08,4.00047225095621e-08,1.1499985198259482e-09,-1.149998519825789e-09,-1.1499985198259579e-09,-6.948317145445432e-22,-5.017998519825267e-09,3.868e-09,0.0,0.0
5.455999999999999e-11,0.0,3.909994967408224e-08,3.909994967408592e-08,4.000472250956104e-08,1.1499985198259482e-09,-1.1499985198258026e-09,-1.1499985198259775e-09,-7.080666043453917e-22,-5.017998519825267e-09,3.868e-09,0.0,0.0
5.655999999999999e-11,0.0,3.909994967408225e-08,3.909994967408662e-08,4.0004722509559944e-08,1.1499985198259486e-09,-1.1499985198258166e-09,-1.1499985198259953e-09,-7.213014941462401e-22,-5.017998519825267e-09,3.868e-09,0.0,0.0
5.855999999999999e-11,0.0,3.909994967408224e-08,3.909994967408732e-08,4.000472250955882e-08,1.1499985198259482e-09,-1.1499985198258307e-09,-1.149998519826011e-09,-7.345363839470886e-22,-5.017998519825267e-09,3.868e-09,0.0,0.0
6.056e-11,0.0,3.909994967408224e-08,3.9099949674088036e-08,4.0004722509557674e-08,1.1499985198259482e-09,-1.149998519825845e-09,-1.1499985198260247e-09,-7.543887186483612e-22,-5.017998519825267e-09,3.868e-09,0.0,0.0
6.256e-11,0.0,3.909994967408224e-08,3.909994967408876e-08,4.0004722509556516e-08,1.1499985198259482e-09,-1.1499985198258594e-09,-1.149998519826036e-09,-7.610061635487855e-22,-5.017998519825267e-09,3.868e-09,0.0,0.0
6.456000000000001e-11,0.0,3.9099949674082246e-08,3.909994967408945e-08,4.000472250955534e-08,1.1499985198259484e-09,-1.1499985198258733e-09,-1.149998519826045e-09,-7.742410533496339e-22,-5.017998519825267e-09,3.868e-09,0.0,0.0
6.656000000000001e-11,0.0,3.909994967408224e-08,3.909994967409013e-08,4.000472250955415e-08,1.1499985198259482e-09,-1.1499985198258867e-09,-1.1499985198260518e-09,-7.808584982500581e-22,-5.017998519825267e-09,3.868e-09,0.0,0.0
6.856000000000002e-11,0.0,3.909994967408223e-08,3.9099949674090776e-08,4.000472250955294e-08,1.149998519825948e-09,-1.1499985198258998e-09,-1.149998519826057e-09,-7.874759431504823e-22,-5.017998519825267e-09,3.868e-09,0.0,0.0
7.056000000000003e-11,0.0,3.909994967408224e-08,3.9099949674091385e-08,4.000472250955173e-08,1.1499985198259482e-09,-1.149998519825912e-09,-1.14999851982606e-09,-7.874759431504823e-22,-5.017998519825267e-09,3.868e-09,0.0,0.0
7.256000000000003e-11,0.0,3.9099949674082246e-08,3.9099949674091934e-08,4.000472250955052e-08,1.1499985198259484e-09,-1.149998519825923e-09,-1.1499985198260609e-09,-8.007108329513308e-22,-5.017998519825267e-09,3.868e-09,0.0,0.0
7.456000000000004e-11,0.0,3.909994967408224e-08,3.909994967409245e-08,4.000472250954931e-08,1.1499985198259482e-09,-1.1499985198259333e-09,-1.14999851982606e-09,-7.940933880509066e-22,-5.017998519825267e-09,3.868e-09,0.0,0.0
7.656000000000004e-11,0.0,3.909994967408223e-08,3.9099949674092926e-08,4.00047225095481e-08,1.149998519825948e-09,-1.1499985198259428e-09,-1.1499985198260573e-09,-7.874759431504823e-22,-5.017998519825267e-09,3.868e-09,0.0,0.0
7.856000000000005e-11,0.0,3.909994967408224e-08,3.909994967409336e-08,4.000472250954689e-08,1.1499985198259482e-09,-1.1499985198259515e-09,-1.1499985198260528e-09,-7.874759431504823e-22,-5.017998519825267e-09,3.868e-09,0.0,0.0
8.056000000000006e-11,0.0,3.909994967408225e-08,3.909994967409374e-08,4.0004722509545696e-08,1.1499985198259486e-09,-1.1499985198259591e-09,-1.1499985198260458e-09,-7.676236084492097e-22,-5.017998519825267e-09,3.868e-09,0.0,0.0
8.256000000000006e-11,0.0,3.909994967408224e-08,3.9099949674094045e-08,4.000472250954451e-08,1.1499985198259482e-09,-1.1499985198259653e-09,-1.149998519826037e-09,-7.610061635487855e-22,-5.017998519825267e-09,3.868e-09,0.0,0.0
8.456000000000007e-11,0.0,3.909994967408223e-08,3.909994967409428e-08,4.000472250954335e-08,1.149998519825948e-09,-1.1499985198259699e-09,-1.149998519826027e-09,-7.543887186483612e-22,-5.017998519825267e-09,3.868e-09,0.0,0.0
8.656000000000007e-11,0.0,3.909994967408224e-08,3.909994967409447e-08,4.0004722509542196e-08,1.1499985198259482e-09,-1.1499985198259736e-09,-1.1499985198260152e-09,-7.47771273747937e-22,-5.017998519825267e-09,3.868e-09,0.0,0.0
8.856000000000008e-11,0.0,3.909994967408225e-08,3.909994967409459e-08,4.0004722509541064e-08,1.1499985198259486e-09,-1.149998519825976e-09,-1.1499985198260021e-09,-7.279189390466644e-22,-5.017998519825267e-09,3.868e-09,0.0,0.0
9.056000000000009e-11,0.0,3.909994967408224e-08,3.9099949674094654e-08,4.000472250953995e-08,1.1499985198259482e-09,-1.1499985198259773e-09,-1.1499985198259877e-09,-7.213014941462401e-22,-5.017998519825267e-09,3.868e-09,0.0,0.0
9.256000000000009e-11,0.0,3.909994967410351e-08,3.909994967409424e-08,4.000472250953886e-08,1.1499985198265737e-09,-1.149998519826188e-09,-1.1499985198259723e-09,-7.014491594449675e-22,-5.017998519825267e-09,3.868e-09,0.0,0.0
