time,v(hi),v(lo),v(bias),v(sl),v(sh),v(dl),v(dh),vhigh#branch
0.0,0.0,-8.078400312924086e-21,-1.8891571295153325e-31,-8.084328371468517e-21,0.0,-8.084328371455276e-21,0.0,-9.445785647576663e-37
5e-06,0.0165,-8.078392350672644e-21,0.01649999575791238,-8.07852011455563e-21,0.015804597658336843,-8.078520114555346e-21,0.015804597658336843,-6.321839681769468e-07
5.006783636298256e-06,0.016522385999784246,-8.078392339860895e-21,0.016522381999490444,-8.078512691152259e-21,0.015826068408345342,-8.07851269115199e-21,0.015826068408345342,-6.33016012218652e-07
5.020350908894767e-06,0.016567157999352735,-8.078392318220172e-21,0.016567153988761924,-8.078498705498136e-21,0.015869064662941038,-8.078498705497896e-21,0.015869064662941038,-6.346303258817694e-07
5.0474854540877885e-06,0.016656701998489704,-8.078392274846736e-21,0.016656697967311885,-8.078475333785482e-21,0.01595536661635835,-8.078475333785294e-21,0.01595536661635835,-6.375776402753025e-07
5.101754544473831e-06,0.016835789996763644,-8.078392187822911e-21,0.016835785924439736,-8.07844243810445e-21,0.016129038420399294,-8.078442438104338e-21,0.016129038420399294,-6.425014534201202e-07
5.210292725245918e-06,0.017193965993311532,-8.078392013124939e-21,0.017193961838806227,-8.078409163222848e-21,0.01647959710360978,-8.078409163222806e-21,0.01647959710360978,-6.49426284137759e-07
5.4115828940176115e-06,0.01785822355025812,-8.078391688234824e-21,0.017858219243727713,-8.078392597712096e-21,0.017136553013746173,-8.078392597712092e-21,0.017136553013746173,-6.560641456344237e-07
5.601084542927914e-06,0.018483578991662118,-8.078391382080028e-21,0.018483574542457373,-8.078391593148381e-21,0.017759301792395238,-8.07839159314838e-21,0.017759301792395238,-6.584338397613682e-07
5.87651938495204e-06,0.019392513970341734,-8.078390937074381e-21,0.019392509314516193,-8.078391085661912e-21,0.018666910213817993,-8.078391085661914e-21,0.018666910213817993,-6.596398019370771e-07
6.190807428011626e-06,0.020429664512438366,-8.07839042929411e-21,0.020429659621898518,-8.078390585279404e-21,0.01970373050934425,-8.078390585279406e-21,0.01970373050934425,-6.599400272655328e-07
6.756101554158384e-06,0.02229513512872267,-8.078389515975606e-21,0.022295129818702217,-8.078389670363185e-21,0.021569126842172073,-8.078389670363185e-21,0.021569126842172073,-6.600075597779164e-07
7.588721614236625e-06,0.025042781326980863,-8.078388170751585e-21,0.025042775404959024,-8.078388325911093e-21,0.024316783804987065,-8.078388325911093e-21,0.024316783804987065,-6.599977768771967e-07
9.253961734393108e-06,0.03053807372349726,-8.078385480304263e-21,0.03053806659583845,-8.07838563496201e-21,0.02981207217054024,-8.07838563496201e-21,0.02981207217054024,-6.600014474174037e-07
1.2584441974706074e-05,0.04152865851653005,-8.078380099412274e-21,0.041528649035213784,-8.078380254478367e-21,0.04080265954868796,-8.078380254478368e-21,0.04080265954868796,-6.599991090812022e-07
1.9245402455332003e-05,0.06350982810259562,-8.078369337639064e-21,0.06350981405752705,-8.07836949233568e-21,0.06278382695871433,-8.07836949233568e-21,0.06278382695871433,-6.600011101174238e-07
3.256732341658387e-05,0.10747216727472676,-8.078347814135632e-21,0.10747214431334755,-8.07834796918311e-21,0.10674616795453709,-8.078347969183108e-21,0.10674616795453709,-6.599994967975098e-07
5.921116533908759e-05,0.19539684561898907,-8.078304767300824e-21,0.19539680507267773,-8.07830492200483e-21,0.1946708442771738,-8.07830492200483e-21,0.1946708442771738,-6.600014225636292e-07
0.00011249884918409502,0.3712462023075136,-8.078218674319344e-21,0.37124612659133793,-8.078218829360119e-21,0.3705202023621055,-8.078218829360119e-21,0.3705202023621055,-6.600003289518558e-07
0.00011514713610805609,0.3799855491565851,-8.07821439570138e-21,0.37998547169254043,-8.078214550430901e-21,0.3792595476753716,-8.0782145504309e-21,0.3792595476753716,-6.600017338779173e-07
0.00012044370995597821,0.39746424285472814,-8.078205838472228e-21,0.3974641618949454,-8.078205993475529e-21,0.39673824250267165,-8.07820599347553e-21,0.39673824250267165,-6.600007248503119e-07
0.00013103685765182246,0.43242163025101416,-8.078188724041134e-21,0.43242154229975527,-8.078188878786884e-21,0.4316956287941334,-8.078188878786884e-21,0.4316956287941334,-6.600017641933214e-07
0.00015222315304351094,0.5023364050435861,-8.078154495287709e-21,0.5023363031093752,-8.078154650282097e-21,0.5016104043980701,-8.078154650282094e-21,0.5016104043980701,-6.600010965037849e-07
0.0001945957438268879,0.6421659546287302,-8.078086038215975e-21,0.6421658247286148,-8.078086192963619e-21,0.6414399527401703,-8.07808619296362e-21,0.6414399527401703,-6.600023663731942e-07
0.00019641047125316025,0.6481545551354289,-8.07808310635898e-21,0.6481544240375936,-8.078083261324325e-21,0.6474285539787521,-8.078083261324324e-21,0.6474285539787521,-6.600017070134746e-07
0.00020003992610570485,0.660131756148826,-8.078077242648194e-21,0.660131622655551,-8.078077397433003e-21,0.6594057544624141,-8.078077397433002e-21,0.6594057544624141,-6.600022005680533e-07
0.00020729883581079405,0.6840861581756205,-8.078065515239369e-21,0.684086019891466,-8.078065670188457e-21,0.6833601568535875,-8.078065670188456e-21,0.6833601568535875,-6.600018932689453e-07
0.0002076436323672381,0.6852239868118858,-8.078064958190548e-21,0.6852238483001657,-8.078065113042243e-21,0.6844979853152154,-8.078065113042243e-21,0.6844979853152154,-6.60002053167949e-07
0.00020833322548012627,0.6874996440844167,-8.078063844093017e-21,0.6874995051175653,-8.078063998971411e-21,0.6867736425537242,-8.078063998971411e-21,0.6867736425537242,-6.600020863728332e-07
0.00020971241170590255,0.6920509586294784,-8.078061615898423e-21,0.6920508187523642,-8.078061770761081e-21,0.6913249570967351,-8.07806177076108e-21,0.6913249570967351,-6.600020927885995e-07
0.00021247078415745512,0.701153587719602,-8.07805715951107e-21,0.7011534460219624,-8.07805731438586e-21,0.7004275861621571,-8.078057314385858e-21,0.7004275861621571,-6.600021243472853e-07
0.00021261250561673513,0.7016212685352259,-8.078056930547961e-21,0.7016211267440501,-8.07805708541834e-21,0.7008952669777095,-8.078057085418339e-21,0.7008952669777095,-6.600021248798996e-07
0.00021270661732929283,0.7019318371866664,-8.078056778502465e-21,0.7019316953333768,-8.078056933372112e-21,0.7012058356288218,-8.07805693337211e-21,0.7012058356288218,-6.600021254889502e-07
0.00021273612674849914,0.7020292182700472,1.0013832380243977e-13,0.7020235874384929,7.138619260901305e-09,0.7013032129184302,7.138619260950708e-09,0.7013032129184303,-6.600330192640643e-07
0.00021276650163234046,0.7021294553867236,8.684763314764391e-13,0.7020959192436212,5.725158463846039e-08,0.7014034229284843,5.7251584638561346e-08,0.7014034229284846,-6.601971882055804e-07
0.00021279126722286172,0.7022111818354437,2.574978455396108e-12,0.7021453527143663,1.5577164067827592e-07,0.7014850946840145,1.5577164067821551e-07,0.7014850946840148,-6.604083741772312e-07
0.00021282149673032284,0.7023109392100654,6.671774598857873e-12,0.7021981982462999,3.544170114508057e-07,0.7015847373281695,3.5441701145065703e-07,0.7015847373281695,-6.607472338151176e-07
0.00021285508993362196,0.7024217967809525,1.457446691171186e-11,0.7022504400735127,6.723424822614732e-07,0.7016954028014837,6.723424822616446e-07,0.7016954028014838,-6.612149466906541e-07
0.00021289060791998692,0.7025390061359569,2.76008152160323e-11,0.7023003059663665,1.1082373298036945e-06,0.7018123361162903,1.108237329803816e-06,0.7018123361162902,-6.618026096358158e-07
0.00021292776582376447,0.7026616272184227,4.720173999406925e-11,0.7023480418298348,1.6583668775887236e-06,0.701934592225585,1.658366877588123e-06,0.7019345922255844,-6.625088295229647e-07
0.00021296719536188197,0.7027917446942106,7.54978835990608e-11,0.7023948449977333,2.329669778098134e-06,0.702064243662655,2.329669778097659e-06,0.7020642436626545,-6.633490726240272e-07
0.00021300920082987197,0.7029303627385776,1.1493204213360308e-10,0.702441228296824,3.1255440301192206e-06,0.7022022844081623,3.1255440301195543e-06,0.7022022844081621,-6.643350634954418e-07
0.0002130543137661696,0.7030792354283597,1.6874436078821721e-10,0.7024878020056586,4.054370403102584e-06,0.7023504544621605,4.054370403102622e-06,0.7023504544621604,-6.654853182038183e-07
0.00021310279517060114,0.7032392240629838,2.4058302974066974e-10,0.7025347771797894,5.1198151881323185e-06,0.7025096044639949,5.119815188132702e-06,0.7025096044639949,-6.66812778951371e-07
0.0002131552096866087,0.7034121919658087,3.353460467845738e-10,0.7025825861306296,6.3325236569176935e-06,0.7026815818209928,6.332523656917534e-06,0.7026815818209927,-6.683390699177062e-07
0.00021321189987996266,0.7035992696038769,4.585967400094279e-10,0.702631379710906,7.698812054046829e-06,0.7028675049069714,7.69881205404578e-06,0.7028675049069711,-6.700800830153927e-07
0.00021327346547628573,0.703802436071743,6.176402838786416e-10,0.7026814780805147,9.231667470819237e-06,0.7030693358059386,9.231667470820626e-06,0.7030693358059383,-6.720595770511473e-07
0.0002133402666937869,0.7040228800894968,8.206392476826678e-10,0.7027329519109583,1.0938824381614455e-05,0.7032882516349876,1.0938824381615829e-05,0.7032882516349876,-6.742936904464611e-07
0.00021341286265735352,0.7042624467692666,1.0779192044784204e-09,0.7027859942083031,1.2833523482236146e-05,0.7035260822153139,1.283352348223503e-05,0.7035260822153138,-6.768045845801317e-07
0.00021349154775968527,0.7045221076069614,1.4006783439177309e-09,0.702840575113121,1.4922602766622751e-05,0.703783790866166,1.492260276662097e-05,0.7037837908661657,-6.796046995561191e-07
0.00021357676704691873,0.7048033312548319,1.80252259409793e-09,0.70289676112125,1.72171598384549e-05,0.7040628354695283,1.7217159838453103e-05,0.7040628354695276,-6.82710837307803e-07
0.00021367172714292304,0.7051166995716461,2.3151700821229267e-09,0.7029562900387974,1.9804263447961365e-05,0.7043737146573722,1.9804263447959186e-05,0.7043737146573716,-6.862428788226445e-07
0.00021377931755856054,0.7054717479432498,2.979565678416379e-09,0.7030203699888379,2.276530211249919e-05,0.7047258841525466,2.2765302112497477e-05,0.7047258841525463,-6.903148813206385e-07
0.00021390407640913876,0.7058834521501579,3.862270003134038e-09,0.703090845970485,2.622932360680716e-05,0.7051341926305499,2.6229323606810513e-05,0.7051341926305499,-6.951080487238776e-07
0.00021405134865674325,0.7063694505672528,5.060904905699661e-09,0.7031695435550458,3.0350310092724236e-05,0.705616125793207,3.035031009273425e-05,0.705616125793207,-7.008402387390631e-07
0.0002142253001274603,0.706943490420619,6.6970228183251585e-09,0.7032572132840428,3.52506086046811e-05,0.7061853092801301,3.525060860468913e-05,0.70618530928013,-7.076869679454928e-07
0.00021443305803768464,0.7076290915243594,8.966267295296528e-09,0.7033556604122433,4.11362007249616e-05,0.7068650587848004,4.1136200724960796e-05,0.7068650587848003,-7.15942373341453e-07
0.00021468284039174844,0.7084533732927698,1.215187357289045e-08,0.7034665625318921,4.824398335646907e-05,0.707682258607712,4.824398335646714e-05,0.7076822586077121,-7.259474038569485e-07
0.00021498791733447968,0.7094601272037829,1.6724244755338156e-08,0.7035929850497412,5.695334723574905e-05,0.7086803226903049,5.695334723574126e-05,0.7086803226903048,-7.382489048411473e-07
0.00021536596072298537,0.7107076703858517,2.3435450642521543e-08,0.7037385268122165,6.776607677322355e-05,0.7099170678105955,6.776607677320891e-05,0.7099170678105952,-7.535753317376389e-07
0.00021584641138461678,0.7122931575692354,3.364113055425965e-08,0.703909390048924,8.151240170455043e-05,0.7114888198408036,8.151240170455677e-05,0.7114888198408036,-7.731349543577755e-07
0.00021647801471500768,0.7143774485595253,4.992136991159903e-08,0.7041152420482285,9.955651630431939e-05,0.713555076248283,9.955651630432707e-05,0.7135550762482831,-7.989222245949638e-07
0.00021736031337752713,0.7172890341458396,7.811907270941248e-08,0.7043759793634313,0.00012466228095771997,0.7164415671065288,0.00012466228095771024,0.7164415671065288,-8.349898551035496e-07
0.00021880882562644525,0.7220691245672693,1.3819810532167907e-07,0.704755398800136,0.00016554863727444302,0.7211807960663167,0.00016554863727444958,0.7211807960663167,-8.941399933380841e-07
0.0002204377511501851,0.7274445787956109,2.2617790619337485e-07,0.7051316222819982,0.00021099130850098236,0.726510853522746,0.0002109913085009816,0.726510853522746,-9.604059397178661e-07
0.00022232988577861664,0.7336886230694349,3.553783892039663e-07,0.7055218532220027,0.0002630661126312023,0.7327029049532321,0.0002630661126311829,0.7327029049532322,-1.036941227603339e-06
0.00022432311698969326,0.7402662860659878,5.226819434008291e-07,0.7058934183989788,0.00031714081626751933,0.739226613838036,0.0003171408162675164,0.739226613838036,-1.1170209092002843e-06
0.00022654375690695376,0.7475943977929475,7.465025004493732e-07,0.7062716172432153,0.0003765064625273068,0.7464955352668153,0.0003765064625273058,0.7464955352668151,-1.2055798355961492e-06
0.00022899213699561808,0.7556740520855397,1.0386549457980012e-06,0.7066549897612572,0.000440974807532607,0.754510964301342,0.00044097480753259766,0.7545109643013419,-1.302447842710299e-06
0.00023178650395639186,0.7648954630560932,1.4297668591768268e-06,0.707058908745528,0.0005134004814427579,0.7636602891867257,0.0005134004814427547,0.7636602891867257,-1.4120681073414958e-06
0.00023491720874500914,0.7752267888585301,1.940345728054858e-06,0.7074779286826006,0.0005932178122516896,0.7739122556604129,0.0005932178122516943,0.7739122556604129,-1.5337744809862473e-06
0.00023848710799938923,0.7870074563979844,2.6150373189247516e-06,0.7079211665239551,0.0006826911498879484,0.7856040700313426,0.0006826911498879658,0.7856040700313428,-1.671237237226193e-06
0.0002425038898727966,0.8002628365802288,3.490870316249073e-06,0.7083847741468621,0.0007815971147197565,0.7987613643359794,0.0007815971147196717,0.7987613643359797,-1.824365079666193e-06
0.0002470749117099097,0.8153472086427019,4.636322152226361e-06,0.7088760099321215,0.0008921083902585225,0.8137363130919846,0.0008921083902585696,0.8137363130919846,-1.9968064942050092e-06
0.0002522227388037053,0.8323350380522276,6.113918925694808e-06,0.7093918410775171,0.0010142401856182426,0.8306034298014844,0.0010142401856183029,0.8306034298014845,-2.1889053037310417e-06
0.00025806868868611706,0.8516266726641863,8.0302346397833e-06,0.7099387326577502,0.0011502749566349446,0.84976088586301,0.00115027495663489,0.8497608858630102,-2.4046095192833657e-06
0.0002646583527442927,0.8733725640561659,1.0490777863342299e-05,0.7105149048526865,0.0013006048881137322,0.8713588468384019,0.0013006048881136865,0.871358846838402,-2.6449403121663983e-06
0.00027212840646586266,0.8980237413373469,1.3660581999076775e-05,0.7111260012138263,0.001467603287089031,0.8958461330423619,0.0014676032870890485,0.8958461330423618,-2.9141326051493745e-06
0.0002805518079714174,0.9258209663056775,1.7714134333918745e-05,0.7117713282907933,0.0016520731775334085,0.9234628783115268,0.0016520731775334727,0.9234628783115266,-3.213964548393316e-06
0.0002900876876482267,0.9572893692391481,2.2908454102561202e-05,0.712456115286329,0.0018565852439374475,0.9547318987871543,0.0018565852439374245,0.9547318987871541,-3.5491394079404217e-06
0.0003008427964647247,0.9927812283335915,2.9528611367002368e-05,0.7131806891801761,0.0020824218423524388,0.99000447586668,0.002082421842352446,0.9900044758666798,-3.922323120232238e-06
0.00031300690966198734,1.0329228018845584,3.797654366625732e-05,0.7139501545551143,0.0023324665536196276,1.0299043857680727,0.0023324665536196597,1.0299043857680725,-4.338877887997863e-06
0.00032672888991104766,1.0782053367064572,4.8714024934795746e-05,0.714765843360488,0.002608579619480439,1.0749214772435627,0.00260857961948047,1.0749214772435625,-4.802524251179617e-06
0.0003422395966300983,1.1293906688793245,6.237199793332071e-05,0.7156330133442186,0.0029141101924060053,1.1258148677500701,0.0029141101924060092,1.1258148677500701,-5.319516576997698e-06
0.0003597411161587382,1.187145683323836,7.969445169161758e-05,0.7165540669711377,0.0032516472719809064,1.1832495975265138,0.003251647271980907,1.1832495975265134,-5.894854261147384e-06
0.00037951891496770335,1.2524124193934212,0.00010167545315863104,0.7175347193000385,0.0036252179494200565,1.2481646724923743,0.0036252179494200916,1.2481646724923745,-6.535976592327735e-06
